"image","caption","entities","relations"
"0.png","A diagram showing the parts of a face with labels. face is the title.","hair; eyes; ears; face; mouth; nose; image of Hair","hair → image of Hair; eyes → image of Hair; ears → image of Hair; mouth → image of Hair; nose → image of Hair"
"1228.png","A diagram showing parts of the human body labeled with text","head; neck; shoulder(s); hand(s); arm(s); leg(s); finger(s); knee(s); foot (feet); toe(s); image of Head","head → image of Head; neck → image of Head; shoulder(s) → image of Head; hand(s) → image of Head; arm(s) → image of Head; leg(s) → image of Head; finger(s) → image of Head; knee(s) → image of Head; foot (feet) → image of Head; toe(s) → image of Head"
"1229.png","A diagram showing labeled parts of the human body on two figures. The image has a title: the parts of the body.","cfl colegio de formacion linguistica; the parts of the body; leg; hip; foot; thigh; knee; ankle; shin; hand; waist; neck; head; my body; face; elbow; wrist; shoulder; arm - ; chest; image of Girl; image of Boy","cfl colegio de formacion linguistica → I0; leg → image of Boy; hip → image of Boy; foot → image of Boy; thigh → image of Girl; knee → image of Girl; ankle → image of Girl; shin → image of Girl; hand → image of Girl; waist → image of Girl; neck → image of Girl; head → image of Boy; my body → I0; face → image of Girl; elbow → image of Girl; wrist → image of Boy; shoulder → image of Boy; arm -  → image of Boy; chest → image of Boy"
"1230.png","A diagram showing parts of the human body. the body is the title.","the body; head; shin_; instep; toenail big toe; sole; foot; ankle; ball of the foot; heel; arm; arch of the foot; calf ; _thigh; buttocks; _hip; small of the back ; for ear m; elbow back; armpit; shoulder; nipple; neck; _ear; _hair; chest; stomach_; navel; waist; groin; knee_ leg; image of Chest","head → image of Chest; shin_ → image of Chest; instep → image of Chest; toenail big toe → image of Chest; sole → image of Chest; foot → image of Chest; ankle → image of Chest; ball of the foot → image of Chest; heel → image of Chest; arm → image of Chest; arch of the foot → image of Chest; calf  → image of Chest; _thigh → image of Chest; buttocks → image of Chest; _hip → image of Chest; small of the back  → image of Chest; for ear m → image of Chest; elbow back → image of Chest; elbow back → image of Chest; armpit → image of Chest; shoulder → image of Chest; nipple → image of Chest; neck → image of Chest; _ear → image of Chest; _hair → image of Chest; chest → image of Chest; stomach_ → image of Chest; navel → image of Chest; waist → image of Chest; groin → image of Chest; knee_ leg → image of Chest"
"1231.png","A diagram showing parts of the human body","head; arm; leg; knee; hand; foot; image of Head","head → image of Head; arm → image of Head; leg → image of Head; knee → image of Head; hand → image of Head; foot → image of Head"
"1325.png","A diagram showing the human respiratory system","nasal cavity; pharynx; larynx; trachea; bronchi; lung; bronchioles; diaphragm; image of Nasal cavity","nasal cavity → image of Nasal cavity; pharynx → image of Nasal cavity; larynx → image of Nasal cavity; trachea → image of Nasal cavity; bronchi → image of Nasal cavity; bronchi → image of Nasal cavity; lung → image of Nasal cavity; bronchioles → image of Nasal cavity; diaphragm → image of Nasal cavity"
"1326.png","A diagram showing the organs of the respiratory system in a human body.Titled as organs of the respiratory system.","organs of the respiratory system; oral cavity; trachea; carina of trachea right main' (primary) bronchus right lung-; parietal pleura (and visceral pleura covers lung surfaces themselves); pharynx; nasal cavity plus paranasal sinuses nostril; larynx; left main (primary) bronchus; bronchi; alveoli; left lung; -diaphragm; image of Head","oral cavity → image of Head; oral cavity → image of Head; trachea → image of Head; carina of trachea right main' (primary) bronchus right lung- → image of Head; parietal pleura (and visceral pleura covers lung surfaces themselves) → image of Head; pharynx → image of Head; nasal cavity plus paranasal sinuses nostril → image of Head; nasal cavity plus paranasal sinuses nostril → image of Head; larynx → image of Head; left main (primary) bronchus → image of Head; bronchi → image of Head; alveoli → image of Head; left lung → image of Head; -diaphragm → image of Head"
"1327.png","A diagram showing the human respiratory system and related anatomical structures.","respiratory centres; nasal cavity; thoracic cavity; heart; abdominal cavity; bronchioles; pleurae; ribs; pharynx; larynx; oesophagus.; trachea; bronchi; intercostal muscles; diaphragm; lung; image of Brain","respiratory centres → image of Brain; nasal cavity → image of Brain; thoracic cavity → image of Brain; heart → image of Brain; abdominal cavity → image of Brain; bronchioles → image of Brain; pleurae → image of Brain; ribs → image of Brain; pharynx → image of Brain; larynx → image of Brain; oesophagus. → image of Brain; trachea → image of Brain; bronchi → image of Brain; intercostal muscles → image of Brain; diaphragm → image of Brain; lung → image of Brain"
"1328.png","A diagram showing the human respiratory system. The image has a title: the human respiratory system.","the human respiratory system; nasal passage; oral cavity; pharynx; larynx; trachea; bronchi; lung; heart; ribs; image of Head","nasal passage → image of Head; oral cavity → image of Head; pharynx → image of Head; larynx → image of Head; trachea → image of Head; bronchi → image of Head; lung → image of Head; heart → image of Head; ribs → image of Head"
"1329.png","A diagram showing the human respiratory system","larynx; bronchi; nasal passage; oral cavity; pharynx; trachea; lung; heart; classroomclipart.com http://classroompart.com; image of Respiratory system","larynx → image of Respiratory system; bronchi → image of Respiratory system; nasal passage → image of Respiratory system; oral cavity → image of Respiratory system; pharynx → image of Respiratory system; trachea → image of Respiratory system; lung → image of Respiratory system; heart → image of Respiratory system; classroomclipart.com http://classroompart.com → I0"
"1330.png","A diagram showing the human respiratory system","pharynx; larynx; lungs diaphragm; trachea; bronchioles; nasal cavity; nose; mouth; bronchi; upper respiratory tract; lower respiratory tract; image of Respiratory system","pharynx → image of Respiratory system; larynx → image of Respiratory system; lungs diaphragm → image of Respiratory system; trachea → image of Respiratory system; bronchioles → image of Respiratory system; nasal cavity → image of Respiratory system; nose → image of Respiratory system; mouth → image of Respiratory system; bronchi → image of Respiratory system; bronchi → image of Respiratory system; upper respiratory tract → image of Respiratory system; lower respiratory tract → image of Respiratory system"
"1331.png","A diagram showing the respiratory system of a human body","pharynx; trachea; right lung; nasal cavity; nostril; larynx; left lung; a.d.a.m.; image of Pharynx","pharynx → image of Pharynx; trachea → image of Pharynx; right lung → image of Pharynx; nasal cavity → image of Pharynx; nostril → image of Pharynx; larynx → image of Pharynx; left lung → image of Pharynx; a.d.a.m. → I0"
"1332.png","A diagram showing the respiratory system with a close-up view of the alveoli structure.","trachea; bronchus; lungs; bronchioles; alveoli; image of Respiratory system; image of Alveoli structure","trachea → image of Respiratory system; bronchus → image of Respiratory system; lungs → image of Respiratory system; lungs → image of Respiratory system; bronchioles → image of Alveoli structure; alveoli → image of Alveoli structure; alveoli → image of Alveoli structure"
"1378.png","A diagram showing the human circulatory system","pulmonary artery; pulmonary capillary; right ventricle; black blood-; capillaries of peripheral tissues-; pulmonary vein; aorta; _ left atrium; left ventricle; arterial blood; precava; right atrium; postcava-; image of Lungs","pulmonary artery → image of Lungs; pulmonary capillary → image of Lungs; right ventricle → image of Lungs; black blood- → image of Lungs; capillaries of peripheral tissues- → image of Lungs; pulmonary vein → image of Lungs; aorta → image of Lungs; _ left atrium → image of Lungs; left ventricle → image of Lungs; arterial blood → image of Lungs; precava → image of Lungs; right atrium → image of Lungs; postcava- → image of Lungs"
"1379.png","A diagram showing the human circulatory system with arterial and venous circulation paths, including the heart and lungs.","tissue capillaries; venules ; heart; left; left heart; pulmonary vein; artery; arterioles; tissue capillaries; venules; vein_; vein; lungs; arterioles; aorta; artery; pulmonary artery; lungs; right; image of Heart","tissue capillaries → image of Heart; venules  → image of Heart; heart → image of Heart; left → image of Heart; left heart → image of Heart; pulmonary vein → image of Heart; artery → image of Heart; arterioles → image of Heart; tissue capillaries → image of Heart; venules → image of Heart; vein_ → image of Heart; vein → image of Heart; lungs → image of Heart; arterioles → image of Heart; aorta → image of Heart; artery → image of Heart; pulmonary artery → image of Heart; lungs → image of Heart; right → image of Heart"
"1380.png","A diagram showing the human circulatory system with labeled parts.","subclavian vein; arch of the aorta; pulmonary vein; pulmonary artery; inferior vena cava; thoracic aorta; abdominal aorta; classroomclipart.com http://classroomclipart.com; image of Heart","subclavian vein → image of Heart; arch of the aorta → image of Heart; pulmonary vein → image of Heart; pulmonary artery → image of Heart; inferior vena cava → image of Heart; thoracic aorta → image of Heart; abdominal aorta → image of Heart; classroomclipart.com http://classroomclipart.com → I0"
"1381.png","A diagram showing the human circulatory system with labeled parts.","anterior vena cava; lung; liver; posterior vena cava; heart; stomach; aorta; spleen; intestine; capillary bed; kidney; portal vein; image of Labeled diagram","anterior vena cava → image of Labeled diagram; lung → image of Labeled diagram; liver → image of Labeled diagram; posterior vena cava → image of Labeled diagram; heart → image of Labeled diagram; stomach → image of Labeled diagram; aorta → image of Labeled diagram; spleen → image of Labeled diagram; intestine → image of Labeled diagram; capillary bed → image of Labeled diagram; kidney → image of Labeled diagram; portal vein → image of Labeled diagram"
